Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
199,cds349,CDS,COG0456,309802,309969,-,[R] Acetyltransferases     
200,cds350,CDS,NA,309981,310685,+,NA
201,cds351,CDS,COG0154,310928,312442,+,[J] Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related
202,cds352,CDS,COG0450,312464,313111,-,[O] Peroxiredoxin     
203,cds353,CDS,COG1433,313396,313761,+,[S] Uncharacterized conserved protein   
204,cds354,CDS,ROG3298,313758,314055,-,NA
205,cds355,CDS,NA,314516,314728,+,NA
206,cds356,CDS,ROG1006,314868,315059,+,NA
206,cds357,CDS,COG0591,315064,316644,+,[ER] Na+/proline symporter    
207,cds358,CDS,COG2159,316685,317494,-,[R] Predicted metal-dependent hydrolase of the TIM-barrel
208,cds359,CDS,ROG4094,317621,318592,-,NA
208,cds360,CDS,NA,318641,319450,-,NA
209,cds361,CDS,NA,319545,319640,-,NA
210,cds362,CDS,COG1233,320690,321979,+,[Q] Phytoene dehydrogenase and related proteins 
210,cds363,CDS,COG5483,321982,322497,+,[S] Uncharacterized conserved protein   
211,cds364,CDS,COG2159,322509,323318,-,[R] Predicted metal-dependent hydrolase of the TIM-barrel
211,cds365,CDS,COG5607,323346,323981,-,[S] Uncharacterized conserved protein   
211,cds366,CDS,COG0125,323962,324579,-,[F] Thymidylate kinase    
211,tmk,CDS,COG0125,324563,325204,-,[F] Thymidylate kinase    
211,cds368,CDS,COG0248,325201,326457,-,[FP] Exopolyphosphatase     
211,sixA,CDS,COG2062,326458,326943,-,[T] Phosphohistidine phosphatase SixA   
212,cds370,CDS,COG1013,327625,328518,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
212,cds371,CDS,COG0674,328515,329672,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
212,cds372,CDS,COG1144,329676,329942,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
212,cds373,CDS,COG1014,329935,330483,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
213,cds374,CDS,COG1529,330660,330836,+,"[C] Aerobic-type carbon monoxide dehydrogenase, large subunit"
214,cds375,CDS,COG5558,330850,331161,-,[L] Transposase     
214,cds376,CDS,COG5558,331151,331396,-,[L] Transposase     
215,cds377,CDS,NA,331493,331817,-,NA
215,cds378,CDS,ROG2785,331875,332336,-,NA
216,cds379,CDS,ROG7844,332320,332742,+,NA
217,cds380,CDS,COG3385,332974,333952,-,[L] FOG: Transposase and inactivated derivatives 
218,cds381,CDS,COG0277,334385,335728,+,[C] FAD/FMN-containing dehydrogenases    
219,cds382,CDS,COG1848,335802,336197,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
219,cds383,CDS,COG2002,336187,336429,-,[K] Regulators of stationary/sporulation gene expression 
220,cds384,CDS,ROG0054,336571,336898,-,NA
221,mmsA,CDS,COG1012,337286,338809,+,[C] NAD-dependent aldehyde dehydrogenases   
222,cds386,CDS,COG3413,338834,339520,-,[R] Predicted DNA binding protein  
223,cds387,CDS,COG1063,339754,340839,+,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
224,cds388,CDS,NA,340729,341094,-,NA
225,cds389,CDS,COG3547,341186,341584,+,[L] Transposase and inactivated derivatives  
226,cds390,CDS,ROG1341,341701,341877,+,NA
226,cds391,CDS,ROG1341,341966,342781,+,NA
227,cds392,CDS,COG0346,342850,343857,-,[E] Lactoylglutathione lyase and related lyases 
228,cds393,CDS,COG3193,343962,344381,+,"[R] Uncharacterized protein, possibly involved in utilization"
229,cds394,CDS,COG0446,344553,345773,+,[R] Uncharacterized NAD(FAD)-dependent dehydrogenases   
230,cds395,CDS,NA,345851,346030,+,NA
231,cds396,CDS,ROG0385,346109,346915,+,NA
232,cds397,CDS,ROG3676,347140,348072,+,NA
232,cds398,CDS,COG1676,348078,348512,+,[J] tRNA splicing endonuclease   
232,cds399,CDS,COG2146,348517,348921,+,[PR] Ferredoxin subunits of nitrite reductase and
232,cds400,CDS,ROG2582,348899,349246,+,NA
232,cds401,CDS,ROG2611,349260,350390,+,NA
232,cds402,CDS,COG2151,350399,350872,+,[R] Predicted metal-sulfur cluster biosynthetic enzyme 
233,cds403,CDS,COG0028,350938,352611,+,"[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate"
234,cds404,CDS,ROG7861,352773,352988,+,NA
235,cds405,CDS,COG2146,352993,354678,-,[PR] Ferredoxin subunits of nitrite reductase and
236,cds406,CDS,COG1741,355334,356212,-,[R] Pirin-related protein    
237,cds407,CDS,COG0675,356815,357081,-,[L] Transposase and inactivated derivatives  
238,cds408,CDS,NA,357127,358263,+,NA
239,cds409,CDS,COG1024,358463,359206,+,[I] Enoyl-CoA hydratase/carnithine racemase   
239,cds410,CDS,COG1064,359339,360382,+,[R] Zn-dependent alcohol dehydrogenases   
240,cds411,CDS,COG1274,360428,362242,-,[C] Phosphoenolpyruvate carboxykinase (GTP)   
241,cds412,CDS,COG0438,362417,363814,-,[M] Glycosyltransferase     
241,cds413,CDS,ROG6089,363859,364452,-,NA
242,cds414,CDS,COG1012,364544,366097,+,[C] NAD-dependent aldehyde dehydrogenases   
243,cds415,CDS,COG4113,366556,366945,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
243,cds416,CDS,ROG1176,366941,367162,-,NA
244,cds417,CDS,NA,367628,367964,-,NA
244,cds418,CDS,COG3328,368007,369238,-,[L] Transposase and inactivated derivatives  
245,cds419,CDS,ROG1524,369332,369574,-,NA
246,cds420,CDS,COG2120,369729,370289,-,"[S] Uncharacterized proteins, LmbE homologs  "
246,cds421,CDS,COG0438,370294,371439,-,[M] Glycosyltransferase     
247,cds422,CDS,COG2110,371594,372127,+,[R] Predicted phosphatase homologous to the C-terminal
248,cds423,CDS,COG2452,372266,372418,+,[L] Predicted site-specific integrase-resolvase   
249,cds424,CDS,COG0675,372513,373718,-,[L] Transposase and inactivated derivatives  
249,cds425,CDS,COG1943,373693,374100,-,[L] Transposase and inactivated derivatives  
250,cds426,CDS,COG1017,374207,374380,+,[C] Hemoglobin-like flavoprotein    
251,cds427,CDS,COG1672,374407,375462,-,[R] Predicted ATPase (AAA+ superfamily)  
252,cds428,CDS,COG3415,375855,376850,-,[L] Transposase and inactivated derivatives  
253,cds429,CDS,NA,377138,377317,-,NA
253,cds430,CDS,COG4608,377333,378310,-,"[E] ABC-type oligopeptide transport system, ATPase component"
253,cds431,CDS,COG0444,378279,379217,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
253,cds432,CDS,COG1173,379219,380571,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
253,cds433,CDS,COG0601,380574,381620,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
253,cds434,CDS,COG3889,381638,384358,-,[R] Predicted solute binding protein  
254,cds435,CDS,COG3589,384419,385426,-,[S] Uncharacterized conserved protein   
255,cds436,CDS,COG2872,385462,385914,+,[R] Predicted metal-dependent hydrolases related to alanyl-tRNA
255,cds437,CDS,ROG1571,385917,387302,+,NA
255,cds438,CDS,COG2254,387293,387784,+,"[L] Predicted HD superfamily hydrolase, possibly a"
255,glmS,CDS,COG0449,387819,389573,+,"[M] Glucosamine 6-phosphate synthetase, contains amidotransferase and"
255,cds440,CDS,COG1131,389609,390466,+,"[V] ABC-type multidrug transport system, ATPase component"
255,cds441,CDS,NA,390435,391172,+,NA
255,cds442,CDS,NA,391177,391725,+,NA
255,cds443,CDS,COG3888,391745,392272,+,[K] Predicted transcriptional regulator   
256,cds444,CDS,COG2055,392259,393177,-,[C] Malate/L-lactate dehydrogenases    
257,cds445,CDS,COG2721,393313,393615,+,[G] Altronate dehydratase    
257,cds446,CDS,COG2721,393597,394763,+,[G] Altronate dehydratase    
257,cds447,CDS,COG4948,394766,395896,+,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
258,cds448,CDS,ROG3982,396205,396435,+,NA
259,cds449,CDS,COG3376,396466,397563,-,[P] High-affinity nickel permease   
260,cds450,CDS,COG1802,397728,398366,+,[K] Transcriptional regulators    
260,cds451,CDS,COG2301,398397,399206,+,[G] Citrate lyase beta subunit  
261,cds452,CDS,COG2050,399178,399606,-,"[Q] Uncharacterized protein, possibly involved in aromatic"
262,cds453,CDS,COG1672,399660,400400,-,[R] Predicted ATPase (AAA+ superfamily)  
263,cds454,CDS,NA,400810,401007,-,NA
264,cds455,CDS,NA,401442,401777,-,NA
265,cds456,CDS,COG3371,402910,403233,-,[S] Predicted membrane protein   
266,cds457,CDS,NA,403414,403596,-,NA
266,narI,CDS,COG2181,403603,404304,-,[C] Nitrate reductase gamma subunit  
266,narJ,CDS,COG2180,404297,404803,-,[C] Nitrate reductase delta subunit  
266,narH,CDS,COG1140,404800,406281,-,[C] Nitrate reductase beta subunit  
266,cds461,CDS,COG5013,406278,411137,-,[C] Nitrate reductase alpha subunit  
267,cds462,CDS,COG0365,411480,411926,+,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
267,cds463,CDS,COG1541,411961,412254,+,[H] Coenzyme F390 synthetase   
267,cds464,CDS,COG2050,412266,412664,+,"[Q] Uncharacterized protein, possibly involved in aromatic"
268,cds465,CDS,COG1073,412708,413672,-,[R] Hydrolases of the alpha/beta superfamily 
269,cds466,CDS,COG3415,413687,414548,+,[L] Transposase and inactivated derivatives  
270,cds467,CDS,ROG2546,415026,415802,-,NA
271,cds468,CDS,COG0675,415903,416028,-,[L] Transposase and inactivated derivatives  
272,cds469,CDS,COG1373,416262,416852,-,[R] Predicted ATPase (AAA+ superfamily)  
273,cds470,CDS,COG1914,417489,418655,-,[P] Mn2+ and Fe2+ transporters of the
274,cds471,CDS,COG2406,418965,419546,+,[R] Protein distantly related to bacterial ferritins
274,cds472,CDS,COG2146,419577,419915,+,[PR] Ferredoxin subunits of nitrite reductase and
275,cds473,CDS,ROG7688,419942,420478,-,NA
276,cds474,CDS,ROG6750,420959,421558,+,NA
277,cds475,CDS,COG3350,422349,422639,+,[S] Uncharacterized conserved protein   
278,cds476,CDS,COG2250,422931,423365,-,[S] Uncharacterized conserved protein related to C-terminal
278,cds477,CDS,COG1708,423355,423846,-,[R] Predicted nucleotidyltransferases    
279,cds478,CDS,COG1853,424038,424592,-,[R] Conserved protein/domain typically associated with flavoprotein
280,cds479,CDS,ROG7596,424846,425322,+,NA
281,cds480,CDS,COG3415,425686,426559,+,[L] Transposase and inactivated derivatives  
282,cds481,CDS,NA,426809,427969,-,NA
283,cds482,CDS,ROG7374,428210,428694,-,NA
284,cds483,CDS,COG0455,429267,430004,+,[D] ATPases involved in chromosome partitioning 
285,cds484,CDS,COG0675,430099,431295,+,[L] Transposase and inactivated derivatives  
285,cds485,CDS,COG1373,431343,431558,+,[R] Predicted ATPase (AAA+ superfamily)  
286,cds486,CDS,COG2084,431713,432579,-,[I] 3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases
287,cds487,CDS,COG3385,432757,433696,-,[L] FOG: Transposase and inactivated derivatives 
288,cds488,CDS,COG3177,434211,434858,-,[S] Uncharacterized conserved protein   
289,cds489,CDS,ROG3406,435179,435379,+,NA
290,cds490,CDS,COG1545,435416,435559,-,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
291,cds491,CDS,COG1672,435781,436851,+,[R] Predicted ATPase (AAA+ superfamily)  
292,cds492,CDS,NA,437167,437442,-,NA
293,cds493,CDS,NA,437495,438019,+,NA
294,cds494,CDS,NA,438624,438889,+,NA
295,cds495,CDS,ROG7688,439370,439624,-,NA
295,cds496,CDS,ROG7972,439658,440161,-,NA
295,cds497,CDS,COG2129,440203,441132,-,"[R] Predicted phosphoesterases, related to the Icc"
296,cds498,CDS,COG0412,441262,442035,-,[Q] Dienelactone hydrolase and related enzymes 
297,cds499,CDS,COG4934,442105,443922,-,[O] Predicted protease    
297,cds500,CDS,ROG2375,443969,444595,-,NA
298,cds501,CDS,COG1529,444717,446813,+,"[C] Aerobic-type carbon monoxide dehydrogenase, large subunit"
298,cds502,CDS,NA,446863,447348,+,NA
298,treZ,CDS,COG1523,447368,449053,+,"[G] Type II secretory pathway, pullulanase PulA"
298,cds504,CDS,COG1523,449224,449544,+,"[G] Type II secretory pathway, pullulanase PulA"
299,cds505,CDS,COG3385,449859,450914,-,[L] FOG: Transposase and inactivated derivatives 
300,glgX,CDS,COG1523,451106,452926,+,"[G] Type II secretory pathway, pullulanase PulA"
300,cds507,CDS,COG3280,452923,455109,+,[G] Maltooligosyl trehalose synthase   
301,cds508,CDS,COG4946,455106,458132,-,[S] Uncharacterized protein related to the periplasmic
302,cds509,CDS,COG1985,458342,458977,+,"[H] Pyrimidine reductase, riboflavin biosynthesis  "
303,cds510,CDS,NA,459164,459548,+,NA
304,cds511,CDS,ROG7440,459656,459943,+,NA
304,cds512,CDS,ROG0895,459904,460452,+,NA
305,cds513,CDS,ROG4094,460866,461672,+,NA
306,cds514,CDS,NA,461872,462198,-,NA
306,cds515,CDS,COG5048,462208,462393,-,[R] FOG: Zn-finger    
306,cds516,CDS,ROG5916,462435,462635,-,NA
306,cds517,CDS,NA,462669,463046,-,NA
307,cds518,CDS,NA,463637,463825,-,NA
308,cds519,CDS,ROG7274,463919,465064,+,NA
309,cds520,CDS,NA,465324,465659,-,NA
309,cds521,CDS,NA,465691,465981,-,NA
310,cds522,CDS,COG4243,466279,466716,+,[S] Predicted membrane protein   
310,cds523,CDS,ROG6332,466713,466919,+,NA
311,cds524,CDS,COG2039,468125,468754,+,[O] Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase) 
312,cds525,CDS,ROG3130,468845,469753,-,NA
313,cds526,CDS,COG0622,470037,470609,+,[R] Predicted phosphoesterase    
314,cds527,CDS,COG0580,471353,472222,-,[G] Glycerol uptake facilitator and related permeases
314,glpK,CDS,COG0554,472223,473728,-,[C] Glycerol kinase    
315,cds529,CDS,NA,473915,474184,+,NA
316,cds530,CDS,COG1522,474528,475319,+,[K] Transcriptional regulators    
316,cds531,CDS,COG2409,475359,477485,+,[R] Predicted drug exporters of the RND
317,cds532,CDS,COG1960,478208,479848,+,[I] Acyl-CoA dehydrogenases    
317,cds533,CDS,COG0318,479860,481401,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
318,cds534,CDS,COG1541,481589,483013,-,[H] Coenzyme F390 synthetase   
319,cds535,CDS,COG1865,483190,483732,+,[S] Uncharacterized conserved protein   
320,cds536,CDS,COG2211,483869,485176,+,[G] Na+/melibiose symporter and related transporters 
321,cds537,CDS,ROG4426,485146,485538,-,NA
322,cds538,CDS,COG0675,485655,486860,-,[L] Transposase and inactivated derivatives  
323,cds539,CDS,COG3385,486936,488058,-,[L] FOG: Transposase and inactivated derivatives 
324,cds540,CDS,NA,488251,488456,-,NA
324,cds541,CDS,COG4194,488463,489497,-,[R] Predicted membrane protein   
324,cds542,CDS,COG1725,489503,489856,-,[K] Predicted transcriptional regulators   
325,cds543,CDS,COG3677,490000,490370,-,[L] Transposase and inactivated derivatives  
326,cds544,CDS,NA,490705,491616,+,NA
327,cds545,CDS,ROG6782,491797,492648,+,NA
328,cds546,CDS,NA,492748,492957,+,NA
329,cds547,CDS,ROG8152,492984,494483,-,NA
330,cds548,CDS,ROG4094,494611,495504,-,NA
330,cds549,CDS,NA,495527,497413,-,NA
331,cds550,CDS,COG0243,497689,500841,+,"[C] Anaerobic dehydrogenases, typically selenocysteine-containing  "
331,cds551,CDS,COG0437,500848,501534,+,[C] Fe-S-cluster-containing hydrogenase components 1  
331,cds552,CDS,ROG7142,501531,502826,+,NA
331,cds553,CDS,COG1145,502833,504200,+,[C] Ferredoxin     
331,cds554,CDS,COG3381,504197,504739,+,[R] Uncharacterized component of anaerobic dehydrogenases 
332,cds555,CDS,COG3256,504913,507033,+,[P] Nitric oxide reductase large subunit 
333,cds556,CDS,COG1396,507347,507733,-,[K] Predicted transcriptional regulators   
333,cds557,CDS,ROG8107,507764,508147,-,NA
333,cds558,CDS,ROG6033,508131,508688,-,NA
334,cds559,CDS,COG0491,509110,509796,-,"[R] Zn-dependent hydrolases, including glyoxylases  "
334,cds560,CDS,COG0641,509796,510980,-,[R] Arylsulfatase regulator (Fe-S oxidoreductase)  
335,cds561,CDS,COG3335,511232,511769,+,[L] Transposase and inactivated derivatives  
335,cds562,CDS,COG1662,511781,512110,+,"[L] Transposase and inactivated derivatives, IS1 family"
336,cds563,CDS,COG1373,512411,513694,+,[R] Predicted ATPase (AAA+ superfamily)  
337,cds564,CDS,COG3677,513685,514061,-,[L] Transposase and inactivated derivatives  
338,cds565,CDS,NA,514218,514424,+,NA
339,cds566,CDS,COG2013,514787,515485,+,[S] Uncharacterized conserved protein   
340,cds567,CDS,COG3677,515822,516519,-,[L] Transposase and inactivated derivatives  
341,cds568,CDS,NA,516601,516783,+,NA
342,cds569,CDS,COG1506,517060,518670,-,[E] Dipeptidyl aminopeptidases/acylaminoacyl-peptidases    
343,cds570,CDS,COG0675,518892,520088,-,[L] Transposase and inactivated derivatives  
344,cds571,CDS,NA,520781,521145,+,NA
344,cds572,CDS,COG1305,521191,521295,+,"[E] Transglutaminase-like enzymes, putative cysteine proteases "
345,cds573,CDS,COG0146,521353,523092,-,"[EQ] N-methylhydantoinase B/acetone carboxylase, alpha subunit "
345,cds574,CDS,COG0145,523095,525146,-,"[EQ] N-methylhydantoinase A/acetone carboxylase, beta subunit "
346,cds575,CDS,COG1522,525342,525821,+,[K] Transcriptional regulators    
347,cds576,CDS,COG1457,525991,527352,+,[F] Purine-cytosine permease and related proteins 
347,cds577,CDS,NA,527349,527735,+,NA
347,cds578,CDS,COG3535,527740,528822,+,[S] Uncharacterized conserved protein   
347,cds579,CDS,COG0145,528770,530353,+,"[EQ] N-methylhydantoinase A/acetone carboxylase, beta subunit "
348,cds580,CDS,COG3535,530328,531374,-,[S] Uncharacterized conserved protein   
349,cds581,CDS,COG3413,531917,532621,+,[R] Predicted DNA binding protein  
350,cds582,CDS,COG0477,532724,534115,+,[GEPR] Permeases of the major facilitator superfamily
351,cds583,CDS,COG4948,534120,535238,-,[MR] L-alanine-DL-glutamate epimerase and related enzymes of
352,cds584,CDS,COG1064,535366,536445,+,[R] Zn-dependent alcohol dehydrogenases   
353,cds585,CDS,NA,536675,536893,-,NA
354,cds586,CDS,COG0500,537328,537606,-,[QR] SAM-dependent methyltransferases    
355,cds587,CDS,COG1672,537642,538463,+,[R] Predicted ATPase (AAA+ superfamily)  
355,cds588,CDS,ROG2814,538505,539689,+,NA
356,cds589,CDS,COG0433,539732,541537,-,[R] Predicted ATPase    
356,cds590,CDS,NA,541590,541772,-,NA
357,cds591,CDS,NA,541968,542150,-,NA
358,cds592,CDS,COG0624,542381,543592,-,[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
359,cds593,CDS,COG0477,543780,545072,+,[GEPR] Permeases of the major facilitator superfamily
359,cds594,CDS,COG3191,545087,545938,+,[EQ] L-aminopeptidase/D-esterase     
359,cds595,CDS,COG1028,545945,546703,+,[IQR] Dehydrogenases with different specificities (related to
360,cds596,CDS,COG3385,546867,547914,-,[L] FOG: Transposase and inactivated derivatives 
361,cds597,CDS,NA,548060,548257,-,NA
362,cds598,CDS,COG1237,548810,549658,-,[R] Metal-dependent hydrolases of the beta-lactamase superfamily
362,cds599,CDS,COG3413,549655,550302,-,[R] Predicted DNA binding protein  
362,cds600,CDS,COG3508,550335,551489,-,"[Q] Homogentisate 1,2-dioxygenase    "
363,cds601,CDS,COG2141,551574,552602,+,"[C] Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and"
364,cds602,CDS,ROG0216,552646,553494,-,NA
365,cds603,CDS,COG3385,553929,555014,-,[L] FOG: Transposase and inactivated derivatives 
366,cds604,CDS,ROG4595,555088,555282,+,NA
367,cds605,CDS,COG0433,555326,556978,-,[R] Predicted ATPase    
367,cds606,CDS,ROG2814,556962,557975,-,NA
367,cds607,CDS,NA,557998,558279,-,NA
368,cds608,CDS,COG4113,558627,558986,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
368,cds609,CDS,COG5302,558983,559222,-,[R] Post-segregation antitoxin (ccd killing mechanism protein)
369,cds610,CDS,COG1205,559439,559594,+,[R] Distinct helicase family with a unique
370,cds611,CDS,COG1277,559971,561452,-,[R] ABC-type transport system involved in multi-copper
370,cds612,CDS,COG4555,561453,562352,-,"[CP] ABC-type Na+ transport system, ATPase component"
371,cds613,CDS,COG1743,562515,564074,-,[L] Adenine-specific DNA methylase containing a Zn-ribbon
372,cds614,CDS,COG0595,564135,565406,-,[R] Predicted hydrolase of the metallo-beta-lactamase superfamily
372,cds615,CDS,COG0553,565396,568083,-,"[KL] Superfamily II DNA/RNA helicases, SNF2 family"
372,cds616,CDS,COG5610,568076,568471,-,[R] Predicted hydrolase (HAD superfamily)  
